epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,56.6571,1.10594,0.972,0.99933,0.13269,0.0671507,0.000331811,0.000331811
2,100.64,0.4287,0.97067,1.0,0.09806,0.0341387,0.000653172,0.000653172
3,146.911,0.38724,0.96933,1.0,0.08688,0.00111474,0.000962533,0.000962533
4,218.073,0.38093,0.98067,0.99933,0.05841,0.000946,0.000946,0.000946
5,264.31,0.3554,0.97733,1.0,0.08041,0.000928,0.000928,0.000928
6,308.78,0.33699,0.98333,0.99933,0.04833,0.00091,0.00091,0.00091
7,352.433,0.29601,0.98933,1.0,0.03275,0.000892,0.000892,0.000892
8,396.039,0.30062,0.98733,1.0,0.04909,0.000874,0.000874,0.000874
9,439.614,0.29712,0.988,1.0,0.03945,0.000856,0.000856,0.000856
10,482.946,0.27285,0.988,1.0,0.03802,0.000838,0.000838,0.000838
11,540.5,0.27792,0.99067,1.0,0.03061,0.00082,0.00082,0.00082
12,586.573,0.26747,0.99133,1.0,0.02303,0.000802,0.000802,0.000802
13,630.724,0.26049,0.988,1.0,0.03207,0.000784,0.000784,0.000784
14,674.051,0.2583,0.98667,1.0,0.03597,0.000766,0.000766,0.000766
15,717.82,0.23952,0.99067,1.0,0.02753,0.000748,0.000748,0.000748
16,761.669,0.24786,0.99267,1.0,0.02198,0.00073,0.00073,0.00073
17,812.921,0.25716,0.99333,0.99933,0.022,0.000712,0.000712,0.000712
18,856.404,0.23421,0.99267,1.0,0.02338,0.000694,0.000694,0.000694
19,899.703,0.21659,0.994,1.0,0.01718,0.000676,0.000676,0.000676
20,943.594,0.23082,0.98867,1.0,0.02913,0.000658,0.000658,0.000658
21,987.067,0.22607,0.99067,0.99933,0.02742,0.00064,0.00064,0.00064
22,1030.98,0.22872,0.992,0.99933,0.03202,0.000622,0.000622,0.000622
23,1075.83,0.21793,0.99,1.0,0.02616,0.000604,0.000604,0.000604
24,1119.32,0.22872,0.99067,1.0,0.02307,0.000586,0.000586,0.000586
25,1162.92,0.22003,0.99533,0.99933,0.01807,0.000568,0.000568,0.000568
26,1224.03,0.22149,0.99533,1.0,0.01782,0.00055,0.00055,0.00055
27,1268.07,0.2062,0.994,0.99933,0.01925,0.000532,0.000532,0.000532
28,1312.05,0.20669,0.99467,1.0,0.01575,0.000514,0.000514,0.000514
29,1355.83,0.2079,0.99667,0.99933,0.01414,0.000496,0.000496,0.000496
30,1407.65,0.19555,0.996,1.0,0.01102,0.000478,0.000478,0.000478
31,1452.06,0.21114,0.99533,0.99933,0.01499,0.00046,0.00046,0.00046
32,1496.13,0.20465,0.99267,0.99933,0.017,0.000442,0.000442,0.000442
33,1541.26,0.20209,0.99267,1.0,0.01873,0.000424,0.000424,0.000424
34,1584.72,0.1905,0.99333,1.0,0.01821,0.000406,0.000406,0.000406
35,1627.78,0.20557,0.99333,1.0,0.02084,0.000388,0.000388,0.000388
36,1671.92,0.18671,0.99533,1.0,0.0127,0.00037,0.00037,0.00037
37,1716.02,0.18481,0.996,1.0,0.01187,0.000352,0.000352,0.000352
38,1759.89,0.18861,0.99533,1.0,0.01118,0.000334,0.000334,0.000334
39,1803.03,0.19078,0.99667,1.0,0.01347,0.000316,0.000316,0.000316
40,1846.61,0.16825,0.99667,1.0,0.01051,0.000298,0.000298,0.000298
41,1892.41,0.18549,0.99667,1.0,0.00906,0.00028,0.00028,0.00028
42,1936.39,0.19288,0.99733,1.0,0.00892,0.000262,0.000262,0.000262
43,1980.83,0.16091,0.99733,1.0,0.00853,0.000244,0.000244,0.000244
44,2031.28,0.18848,0.998,1.0,0.01011,0.000226,0.000226,0.000226
45,2074.65,0.17213,0.99667,1.0,0.0076,0.000208,0.000208,0.000208
46,2117.6,0.17798,0.99533,1.0,0.01005,0.00019,0.00019,0.00019
47,2161.35,0.16059,0.99733,1.0,0.00663,0.000172,0.000172,0.000172
48,2208.11,0.1553,0.99867,1.0,0.007,0.000154,0.000154,0.000154
49,2251.84,0.17122,0.99867,1.0,0.00695,0.000136,0.000136,0.000136
50,2295.48,0.17146,0.99733,1.0,0.00586,0.000118,0.000118,0.000118
